undefinedin,victory_percentage,loose_percentage,split_percentage
2c2d,Ks3d,53,46,1
2c2d,Ks3h,54,45,1
2c2d,Ks3c,53,46,1
2c2d,Ks2s,62,36,2
2c2d,Ks2h,66,32,2
2c2d,QcQh,18,82,0
2c2d,QcQd,17,82,1
2c2d,QcQs,18,81,1
2c2d,QcJc,47,52,1
2c2d,QcJh,49,50,1
2c2d,QcJd,49,50,1
2c2d,QcJs,50,49,1
2c2d,QcTc,47,52,1
2c2d,QcTh,49,50,1
2c2d,QcTd,48,50,2
2c2d,QcTs,49,50,1
2c2d,Qc9s,50,49,1
2c2d,Qc9c,48,51,1
2c2d,Qc9h,50,49,1
2c2d,Qc9d,50,49,1
2c2d,Qc8s,51,48,1
2c2d,Qc8d,51,48,1
2c2d,Qc8h,51,48,1
2c2d,Qc8c,49,50,1
2c2d,Qc7s,52,47,1
2c2d,Qc7d,51,48,1
2c2d,Qc7h,52,47,1
2c2d,Qc7c,50,49,1
2c2d,Qc6s,52,47,1
2c2d,Qc6d,52,47,1
2c2d,Qc6h,52,47,1
2c2d,Qc6c,49,49,2
2c2d,Qc5s,52,47,1
2c2d,Qc5d,52,47,1
2c2d,Qc5h,52,46,2
2c2d,Qc5c,50,49,1
2c2d,Qc4s,53,46,1
2c2d,Qc4d,52,47,1
2c2d,Qc4h,53,46,1
2c2d,Qc4c,50,48,2
2c2d,Qc3s,53,46,1
2c2d,Qc3d,53,46,1
2c2d,Qc3h,53,46,1
2c2d,Qc3c,51,48,1
2c2d,Qc2s,66,32,2
2c2d,Qc2h,66,32,2
2c2d,QhQc,18,82,0
2c2d,QhQd,18,81,1
2c2d,QhQs,19,81,0
2c2d,QhJc,49,50,1
2c2d,QhJh,47,52,1
2c2d,QhJd,49,50,1
2c2d,QhJs,50,49,1
2c2d,QhTc,48,50,2
2c2d,QhTh,46,53,1
2c2d,QhTd,49,50,1
2c2d,QhTs,49,50,1
2c2d,Qh9s,51,48,1
2c2d,Qh9c,50,49,1
2c2d,Qh9h,47,52,1
2c2d,Qh9d,50,49,1
2c2d,Qh8s,51,48,1
2c2d,Qh8d,51,48,1
2c2d,Qh8h,49,50,1
2c2d,Qh8c,51,48,1
2c2d,Qh7s,52,47,1
2c2d,Qh7d,52,47,1
2c2d,Qh7h,49,49,2
2c2d,Qh7c,52,47,1
2c2d,Qh6s,52,47,1
2c2d,Qh6d,51,47,2
2c2d,Qh6h,49,50,1
2c2d,Qh6c,52,47,1
2c2d,Qh5s,52,46,2
2c2d,Qh5d,52,46,2
2c2d,Qh5h,49,49,2
2c2d,Qh5c,52,46,2
2c2d,Qh4s,53,46,1
2c2d,Qh4d,52,46,2
2c2d,Qh4h,50,49,1
2c2d,Qh4c,53,46,1
2c2d,Qh3s,53,45,2
2c2d,Qh3d,53,46,1
2c2d,Qh3h,50,49,1
2c2d,Qh3c,53,46,1
2c2d,Qh2s,66,32,2
2c2d,Qh2h,62,36,2
2c2d,QdQc,17,82,1
2c2d,QdQh,18,82,0
2c2d,QdQs,18,82,0
2c2d,QdJc,49,50,1
2c2d,QdJh,49,50,1
2c2d,QdJd,47,52,1
2c2d,QdJs,49,50,1
2c2d,QdTc,49,50,1
2c2d,QdTh,49,50,1
2c2d,QdTd,47,52,1
2c2d,QdTs,49,50,1
2c2d,Qd9s,50,49,1
2c2d,Qd9c,50,49,1
2c2d,Qd9h,50,49,1
2c2d,Qd9d,48,51,1
2c2d,Qd8s,51,48,1
2c2d,Qd8d,49,50,1
2c2d,Qd8h,51,48,1
2c2d,Qd8c,51,48,1
2c2d,Qd7s,52,47,1
2c2d,Qd7d,49,49,2
2c2d,Qd7h,52,47,1
2c2d,Qd7c,51,48,1
2c2d,Qd6s,52,47,1
2c2d,Qd6d,49,50,1
2c2d,Qd6h,52,47,1
2c2d,Qd6c,51,47,2
2c2d,Qd5s,52,47,1
2c2d,Qd5d,50,49,1
2c2d,Qd5h,52,47,1
2c2d,Qd5c,52,47,1
2c2d,Qd4s,52,46,2
2c2d,Qd4d,50,49,1
2c2d,Qd4h,53,46,1
2c2d,Qd4c,52,46,2
2c2d,Qd3s,53,46,1
2c2d,Qd3d,50,48,2
2c2d,Qd3h,53,46,1
2c2d,Qd3c,52,47,1
2c2d,Qd2s,66,32,2
2c2d,Qd2h,66,32,2
2c2d,QsQc,18,82,0
2c2d,QsQh,19,81,0
2c2d,QsQd,18,82,0
2c2d,QsJc,49,50,1
2c2d,QsJh,49,50,1
2c2d,QsJd,49,50,1
2c2d,QsJs,47,52,1
2c2d,QsTc,49,50,1
2c2d,QsTh,49,50,1
2c2d,QsTd,49,50,1
2c2d,QsTs,46,52,2
2c2d,Qs9s,48,51,1
2c2d,Qs9c,50,49,1
2c2d,Qs9h,50,48,2
2c2d,Qs9d,50,49,1
2c2d,Qs8s,48,51,1
2c2d,Qs8d,51,48,1
2c2d,Qs8h,51,47,2
2c2d,Qs8c,51,48,1
2c2d,Qs7s,49,50,1
2c2d,Qs7d,52,47,1
2c2d,Qs7h,52,47,1
2c2d,Qs7c,52,47,1
2c2d,Qs6s,49,50,1
2c2d,Qs6d,52,47,1
2c2d,Qs6h,52,47,1
2c2d,Qs6c,52,47,1
2c2d,Qs5s,50,49,1
2c2d,Qs5d,52,46,2
2c2d,Qs5h,53,46,1
2c2d,Qs5c,52,47,1
2c2d,Qs4s,50,49,1
2c2d,Qs4d,53,46,1
2c2d,Qs4h,53,46,1
2c2d,Qs4c,52,46,2
2c2d,Qs3s,50,49,1
2c2d,Qs3d,53,46,1
2c2d,Qs3h,53,45,2
2c2d,Qs3c,53,46,1
2c2d,Qs2s,62,36,2
2c2d,Qs2h,66,32,2
2c2d,JcJh,18,82,0
2c2d,JcJd,17,82,1
2c2d,JcJs,18,82,0
2c2d,JcTc,46,53,1
2c2d,JcTh,48,51,1
2c2d,JcTd,47,51,2
2c2d,JcTs,48,51,1
2c2d,Jc9s,49,49,2
2c2d,Jc9c,47,52,1
2c2d,Jc9h,49,50,1
2c2d,Jc9d,48,50,2
2c2d,Jc8s,50,49,1
2c2d,Jc8d,49,49,2
2c2d,Jc8h,50,49,1
2c2d,Jc8c,47,51,2
2c2d,Jc7s,51,48,1
2c2d,Jc7d,50,49,1
2c2d,Jc7h,51,48,1
2c2d,Jc7c,48,50,2
2c2d,Jc6s,52,47,1
2c2d,Jc6d,51,47,2
2c2d,Jc6h,52,47,1
2c2d,Jc6c,50,49,1
2c2d,Jc5s,52,47,1
2c2d,Jc5d,51,47,2
2c2d,Jc5h,52,47,1
2c2d,Jc5c,50,49,1
2c2d,Jc4s,52,46,2
2c2d,Jc4d,52,47,1
2c2d,Jc4h,52,46,2
2c2d,Jc4c,50,49,1
2c2d,Jc3s,53,46,1
2c2d,Jc3d,52,46,2
2c2d,Jc3h,52,46,2
2c2d,Jc3c,50,48,2
2c2d,Jc2s,65,32,3
2c2d,Jc2h,65,32,3
2c2d,JhJc,18,81,1
2c2d,JhJd,18,82,0
2c2d,JhJs,18,81,1
2c2d,JhTc,47,51,2
2c2d,JhTh,45,53,2
2c2d,JhTd,48,51,1
2c2d,JhTs,48,51,1
2c2d,Jh9s,49,49,2
2c2d,Jh9c,49,50,1
2c2d,Jh9h,46,52,2
2c2d,Jh9d,49,50,1
2c2d,Jh8s,50,48,2
2c2d,Jh8d,50,49,1
2c2d,Jh8h,47,51,2
2c2d,Jh8c,50,49,1
2c2d,Jh7s,51,48,1
2c2d,Jh7d,51,48,1
2c2d,Jh7h,48,51,1
2c2d,Jh7c,50,48,2
2c2d,Jh6s,52,46,2
2c2d,Jh6d,52,47,1
2c2d,Jh6h,49,49,2
2c2d,Jh6c,52,47,1
2c2d,Jh5s,52,46,2
2c2d,Jh5d,52,47,1
2c2d,Jh5h,49,49,2
2c2d,Jh5c,52,47,1
2c2d,Jh4s,53,46,1
2c2d,Jh4d,52,46,2
2c2d,Jh4h,49,49,2
2c2d,Jh4c,52,46,2
2c2d,Jh3s,53,46,1
2c2d,Jh3d,53,46,1
2c2d,Jh3h,50,49,1
2c2d,Jh3c,53,46,1
2c2d,Jh2s,66,32,2
2c2d,Jh2h,62,36,2
2c2d,JdJc,17,82,1
2c2d,JdJh,18,82,0
2c2d,JdJs,18,82,0
2c2d,JdTc,47,51,2
2c2d,JdTh,48,51,1
2c2d,JdTd,45,53,2
2c2d,JdTs,47,51,2
2c2d,Jd9s,49,49,2
2c2d,Jd9c,48,50,2
2c2d,Jd9h,49,50,1
2c2d,Jd9d,47,52,1
2c2d,Jd8s,50,49,1
2c2d,Jd8d,47,51,2
2c2d,Jd8h,50,49,1
2c2d,Jd8c,50,49,1
2c2d,Jd7s,50,48,2
2c2d,Jd7d,49,50,1
2c2d,Jd7h,51,48,1
2c2d,Jd7c,50,49,1
2c2d,Jd6s,52,46,2
2c2d,Jd6d,50,49,1
2c2d,Jd6h,52,46,2
2c2d,Jd6c,51,47,2
2c2d,Jd5s,52,47,1
2c2d,Jd5d,49,49,2
2c2d,Jd5h,52,46,2
2c2d,Jd5c,51,47,2
2c2d,Jd4s,52,46,2
2c2d,Jd4d,50,49,1
2c2d,Jd4h,52,46,2
2c2d,Jd4c,52,47,1
2c2d,Jd3s,52,46,2
2c2d,Jd3d,50,48,2
2c2d,Jd3h,53,46,1
2c2d,Jd3c,52,46,2
2c2d,Jd2s,65,32,3
2c2d,Jd2h,65,32,3
2c2d,JsJc,18,81,1
2c2d,JsJh,19,81,0
2c2d,JsJd,18,82,0
2c2d,JsTc,48,51,1
2c2d,JsTh,48,51,1
2c2d,JsTd,47,51,2
2c2d,JsTs,45,53,2
2c2d,Js9s,46,52,2
2c2d,Js9c,49,50,1
2c2d,Js9h,49,49,2
2c2d,Js9d,49,50,1
2c2d,Js8s,48,51,1
2c2d,Js8d,50,49,1
2c2d,Js8h,50,48,2
2c2d,Js8c,50,49,1
2c2d,Js7s,48,51,1
2c2d,Js7d,50,48,2
2c2d,Js7h,51,48,1
2c2d,Js7c,50,48,2
2c2d,Js6s,49,50,1
2c2d,Js6d,52,47,1
2c2d,Js6h,52,46,2
2c2d,Js6c,52,47,1
2c2d,Js5s,49,49,2
2c2d,Js5d,52,46,2
2c2d,Js5h,52,46,2
2c2d,Js5c,52,47,1
2c2d,Js4s,50,49,1
2c2d,Js4d,52,46,2
2c2d,Js4h,52,46,2
2c2d,Js4c,52,46,2
2c2d,Js3s,50,49,1
2c2d,Js3d,53,46,1
2c2d,Js3h,53,46,1
2c2d,Js3c,53,45,2
2c2d,Js2s,61,36,3
2c2d,Js2h,66,32,2
2c2d,TcTh,18,81,1
2c2d,TcTd,17,82,1
2c2d,TcTs,18,82,0
2c2d,Tc9s,48,51,1
2c2d,Tc9c,46,53,1
2c2d,Tc9h,48,50,2
2c2d,Tc9d,47,51,2
2c2d,Tc8s,48,50,2
2c2d,Tc8d,48,50,2
2c2d,Tc8h,49,49,2
2c2d,Tc8c,46,52,2
2c2d,Tc7s,49,49,2
2c2d,Tc7d,49,49,2
2c2d,Tc7h,49,49,2
2c2d,Tc7c,47,51,2
2c2d,Tc6s,50,48,2
2c2d,Tc6d,50,48,2
2c2d,Tc6h,51,47,2
2c2d,Tc6c,48,50,2
2c2d,Tc5s,52,46,2
2c2d,Tc5d,51,47,2
2c2d,Tc5h,52,46,2
2c2d,Tc5c,50,48,2
2c2d,Tc4s,52,46,2
2c2d,Tc4d,52,47,1
2c2d,Tc4h,52,46,2
2c2d,Tc4c,49,49,2
2c2d,Tc3s,52,46,2
2c2d,Tc3d,52,46,2
2c2d,Tc3h,52,46,2
2c2d,Tc3c,50,48,2
2c2d,Tc2s,65,32,3
2c2d,Tc2h,65,32,3
2c2d,ThTc,18,82,0
2c2d,ThTd,18,82,0
2c2d,ThTs,18,81,1
2c2d,Th9s,48,50,2
2c2d,Th9c,48,50,2
2c2d,Th9h,45,53,2
2c2d,Th9d,48,51,1
2c2d,Th8s,49,49,2
2c2d,Th8d,49,49,2
2c2d,Th8h,46,52,2
2c2d,Th8c,48,50,2
2c2d,Th7s,49,49,2
2c2d,Th7d,49,49,2
2c2d,Th7h,47,51,2
2c2d,Th7c,49,49,2
2c2d,Th6s,51,47,2
2c2d,Th6d,51,47,2
2c2d,Th6h,48,50,2
2c2d,Th6c,51,47,2
2c2d,Th5s,52,46,2
2c2d,Th5d,52,46,2
2c2d,Th5h,49,49,2
2c2d,Th5c,52,46,2
2c2d,Th4s,52,46,2
2c2d,Th4d,52,47,1
2c2d,Th4h,49,49,2
2c2d,Th4c,52,46,2
2c2d,Th3s,53,45,2
2c2d,Th3d,52,46,2
2c2d,Th3h,49,49,2
2c2d,Th3c,52,46,2
2c2d,Th2s,65,32,3
2c2d,Th2h,61,36,3
2c2d,TdTc,17,82,1
2c2d,TdTh,18,82,0
2c2d,TdTs,18,82,0
2c2d,Td9s,48,50,2
2c2d,Td9c,47,51,2
2c2d,Td9h,47,51,2
2c2d,Td9d,46,53,1
2c2d,Td8s,49,50,1
2c2d,Td8d,46,52,2
2c2d,Td8h,48,50,2
2c2d,Td8c,48,50,2
2c2d,Td7s,49,49,2
2c2d,Td7d,47,51,2
2c2d,Td7h,49,49,2
2c2d,Td7c,49,49,2
2c2d,Td6s,51,47,2
2c2d,Td6d,48,50,2
2c2d,Td6h,51,47,2
2c2d,Td6c,50,48,2
2c2d,Td5s,52,46,2
2c2d,Td5d,50,48,2
2c2d,Td5h,52,46,2
2c2d,Td5c,51,47,2
2c2d,Td4s,52,46,2
2c2d,Td4d,50,49,1
2c2d,Td4h,52,46,2
2c2d,Td4c,51,47,2
2c2d,Td3s,52,46,2
2c2d,Td3d,50,48,2
2c2d,Td3h,52,46,2
2c2d,Td3c,52,46,2
2c2d,Td2s,65,32,3
2c2d,Td2h,65,31,4
2c2d,TsTc,18,81,1
2c2d,TsTh,18,81,1
2c2d,TsTd,18,82,0
2c2d,Ts9s,45,53,2
2c2d,Ts9c,48,50,2
2c2d,Ts9h,48,50,2
2c2d,Ts9d,48,50,2
2c2d,Ts8s,46,52,2
2c2d,Ts8d,49,49,2
2c2d,Ts8h,49,50,1
2c2d,Ts8c,48,50,2
2c2d,Ts7s,47,51,2
2c2d,Ts7d,49,49,2
2c2d,Ts7h,50,48,2
2c2d,Ts7c,49,49,2
2c2d,Ts6s,48,50,2
2c2d,Ts6d,51,47,2
2c2d,Ts6h,51,47,2
2c2d,Ts6c,51,48,1
2c2d,Ts5s,49,49,2
2c2d,Ts5d,52,46,2
2c2d,Ts5h,52,46,2
2c2d,Ts5c,52,46,2
2c2d,Ts4s,49,49,2
2c2d,Ts4d,52,46,2
2c2d,Ts4h,52,46,2
2c2d,Ts4c,52,47,1
2c2d,Ts3s,50,49,1
2c2d,Ts3d,52,46,2
2c2d,Ts3h,52,46,2
2c2d,Ts3c,52,46,2
2c2d,Ts2s,61,36,3
2c2d,Ts2h,65,32,3
2c2d,9s9c,18,81,1
2c2d,9s9h,19,81,0
2c2d,9s9d,18,82,0
2c2d,9s8s,45,52,3
2c2d,9s8d,48,50,2
2c2d,9s8h,48,50,2
2c2d,9s8c,48,50,2
2c2d,9s7s,46,52,2
2c2d,9s7d,49,49,2
2c2d,9s7h,49,49,2
2c2d,9s7c,48,49,3
2c2d,9s6s,47,51,2
2c2d,9s6d,50,48,2
2c2d,9s6h,50,48,2
2c2d,9s6c,50,48,2
2c2d,9s5s,48,50,2
2c2d,9s5d,51,47,2
2c2d,9s5h,52,46,2
2c2d,9s5c,51,47,2
2c2d,9s4s,50,48,2
2c2d,9s4d,53,45,2
2c2d,9s4h,53,45,2
2c2d,9s4c,52,46,2
2c2d,9s3s,49,48,3
2c2d,9s3d,52,46,2
2c2d,9s3h,53,45,2
2c2d,9s3c,52,45,3
2c2d,9s2s,61,35,4
2c2d,9s2h,65,31,4
2c2d,9c9s,18,81,1
2c2d,9c9h,18,81,1
2c2d,9c9d,17,82,1
2c2d,9c8s,48,50,2
2c2d,9c8d,47,51,2
2c2d,9c8h,48,50,2
2c2d,9c8c,46,52,2
2c2d,9c7s,49,49,2
2c2d,9c7d,48,50,2
2c2d,9c7h,49,49,2
2c2d,9c7c,47,51,2
2c2d,9c6s,50,48,2
2c2d,9c6d,50,48,2
2c2d,9c6h,50,48,2
2c2d,9c6c,48,50,2
2c2d,9c5s,51,46,3
2c2d,9c5d,50,47,3
2c2d,9c5h,51,47,2
2c2d,9c5c,49,49,2
2c2d,9c4s,52,46,2
2c2d,9c4d,52,46,2
2c2d,9c4h,52,45,3
2c2d,9c4c,50,48,2
2c2d,9c3s,52,45,3
2c2d,9c3d,52,46,2
2c2d,9c3h,52,46,2
2c2d,9c3c,50,48,2
2c2d,9c2s,65,31,4
2c2d,9c2h,65,32,3
2c2d,9h9s,18,81,1
2c2d,9h9c,18,81,1
2c2d,9h9d,18,81,1
2c2d,9h8s,48,50,2
2c2d,9h8d,48,50,2
2c2d,9h8h,45,53,2
2c2d,9h8c,48,50,2
2c2d,9h7s,49,49,2
2c2d,9h7d,48,50,2
2c2d,9h7h,46,52,2
2c2d,9h7c,49,49,2
2c2d,9h6s,50,48,2
2c2d,9h6d,50,48,2
2c2d,9h6h,47,51,2
2c2d,9h6c,50,48,2
2c2d,9h5s,52,46,2
2c2d,9h5d,51,46,3
2c2d,9h5h,48,49,3
2c2d,9h5c,51,47,2
2c2d,9h4s,53,45,2
2c2d,9h4d,52,46,2
2c2d,9h4h,50,48,2
2c2d,9h4c,52,45,3
2c2d,9h3s,53,45,2
2c2d,9h3d,52,45,3
2c2d,9h3h,50,48,2
2c2d,9h3c,52,46,2
2c2d,9h2s,65,31,4
2c2d,9h2h,61,35,4
2c2d,9d9s,18,81,1
2c2d,9d9c,17,82,1
2c2d,9d9h,18,81,1
2c2d,9d8s,48,50,2
2c2d,9d8d,46,52,2
2c2d,9d8h,48,50,2
2c2d,9d8c,47,50,3
2c2d,9d7s,48,49,3
2c2d,9d7d,47,51,2
2c2d,9d7h,48,49,3
2c2d,9d7c,48,50,2
2c2d,9d6s,50,48,2
2c2d,9d6d,47,50,3
2c2d,9d6h,50,48,2
2c2d,9d6c,49,49,2
2c2d,9d5s,51,47,2
2c2d,9d5d,49,49,2
2c2d,9d5h,51,47,2
2c2d,9d5c,51,47,2
2c2d,9d4s,52,45,3
2c2d,9d4d,50,48,2
2c2d,9d4h,52,45,3
2c2d,9d4c,52,46,2
2c2d,9d3s,52,46,2
2c2d,9d3d,50,48,2
2c2d,9d3h,52,46,2
2c2d,9d3c,52,46,2
2c2d,9d2s,65,31,4
2c2d,9d2h,65,31,4
2c2d,8s8d,18,81,1
2c2d,8s8h,19,80,1
2c2d,8s8c,18,81,1
2c2d,8s7s,45,52,3
2c2d,8s7d,48,50,2
2c2d,8s7h,48,49,3
2c2d,8s7c,48,50,2
2c2d,8s6s,47,51,2
2c2d,8s6d,49,48,3
2c2d,8s6h,49,48,3
2c2d,8s6c,49,49,2
2c2d,8s5s,48,50,2
2c2d,8s5d,50,47,3
2c2d,8s5h,51,47,2
2c2d,8s5c,50,47,3
2c2d,8s4s,49,49,2
2c2d,8s4d,52,46,2
2c2d,8s4h,52,46,2
2c2d,8s4c,52,46,2
2c2d,8s3s,50,48,2
2c2d,8s3d,53,45,2
2c2d,8s3h,53,44,3
2c2d,8s3c,52,45,3
2c2d,8s2s,61,35,4
2c2d,8s2h,65,31,4
2c2d,8d8s,18,81,1
2c2d,8d8h,18,81,1
2c2d,8d8c,17,82,1
2c2d,8d7s,48,50,2
2c2d,8d7d,46,52,2
2c2d,8d7h,47,50,3
2c2d,8d7c,47,50,3
2c2d,8d6s,49,49,2
2c2d,8d6d,47,51,2
2c2d,8d6h,49,48,3
2c2d,8d6c,49,49,2
2c2d,8d5s,50,47,3
2c2d,8d5d,48,50,2
2c2d,8d5h,51,47,2
2c2d,8d5c,50,48,2
2c2d,8d4s,51,46,3
2c2d,8d4d,49,48,3
2c2d,8d4h,51,46,3
2c2d,8d4c,51,46,3
2c2d,8d3s,53,45,2
2c2d,8d3d,50,47,3
2c2d,8d3h,53,44,3
2c2d,8d3c,52,45,3
2c2d,8d2s,65,31,4
2c2d,8d2h,65,31,4
2c2d,8h8s,18,80,2
2c2d,8h8d,18,81,1
2c2d,8h8c,18,81,1
2c2d,8h7s,48,49,3
2c2d,8h7d,47,50,3
2c2d,8h7h,45,52,3
2c2d,8h7c,48,50,2
2c2d,8h6s,49,48,3
2c2d,8h6d,49,49,2
2c2d,8h6h,47,51,2
2c2d,8h6c,49,49,2
2c2d,8h5s,51,47,2
2c2d,8h5d,50,47,3
2c2d,8h5h,48,50,2
2c2d,8h5c,50,47,3
2c2d,8h4s,52,46,2
2c2d,8h4d,52,46,2
2c2d,8h4h,49,49,2
2c2d,8h4c,51,46,3
2c2d,8h3s,53,44,3
2c2d,8h3d,53,45,2
2c2d,8h3h,50,48,2
2c2d,8h3c,53,45,2
2c2d,8h2s,65,31,4
2c2d,8h2h,61,35,4
2c2d,8c8s,18,81,1
2c2d,8c8d,17,82,1
2c2d,8c8h,18,81,1
2c2d,8c7s,47,50,3
2c2d,8c7d,47,50,3
2c2d,8c7h,48,50,2
2c2d,8c7c,45,52,3
2c2d,8c6s,49,48,3
2c2d,8c6d,48,49,3
2c2d,8c6h,49,48,3
2c2d,8c6c,47,51,2
2c2d,8c5s,50,47,3
2c2d,8c5d,50,48,2
2c2d,8c5h,50,47,3
2c2d,8c5c,48,49,3
2c2d,8c4s,51,46,3
2c2d,8c4d,51,46,3
2c2d,8c4h,52,46,2
2c2d,8c4c,49,49,2
2c2d,8c3s,53,45,2
2c2d,8c3d,52,45,3
2c2d,8c3h,53,45,2
2c2d,8c3c,50,47,3
2c2d,8c2s,65,31,4
2c2d,8c2h,65,31,4
2c2d,7s7d,17,81,2
2c2d,7s7h,18,80,2
2c2d,7s7c,17,81,2
2c2d,7s6s,45,52,3
2c2d,7s6d,48,50,2
2c2d,7s6h,48,49,3
2c2d,7s6c,47,50,3
2c2d,7s5s,46,51,3
2c2d,7s5d,49,48,3
2c2d,7s5h,49,48,3
2c2d,7s5c,49,48,3
2c2d,7s4s,48,50,2
2c2d,7s4d,50,47,3
2c2d,7s4h,50,47,3
2c2d,7s4c,50,47,3
2c2d,7s3s,49,49,2
2c2d,7s3d,51,46,3
2c2d,7s3h,52,45,3
2c2d,7s3c,51,46,3
2c2d,7s2s,62,34,4
2c2d,7s2h,65,30,5
2c2d,7d7s,17,81,2
2c2d,7d7h,17,81,2
2c2d,7d7c,17,82,1
2c2d,7d6s,47,50,3
2c2d,7d6d,46,52,2
2c2d,7d6h,48,50,2
2c2d,7d6c,47,50,3
2c2d,7d5s,49,48,3
2c2d,7d5d,46,51,3
2c2d,7d5h,49,48,3
2c2d,7d5c,48,49,3
2c2d,7d4s,50,47,3
2c2d,7d4d,48,50,2
2c2d,7d4h,50,47,3
2c2d,7d4c,50,47,3
2c2d,7d3s,51,46,3
2c2d,7d3d,49,48,3
2c2d,7d3h,51,46,3
2c2d,7d3c,51,46,3
2c2d,7d2s,65,31,4
2c2d,7d2h,65,31,4
2c2d,7h7s,18,81,1
2c2d,7h7d,17,81,2
2c2d,7h7c,17,81,2
2c2d,7h6s,48,49,3
2c2d,7h6d,47,50,3
2c2d,7h6h,45,52,3
2c2d,7h6c,48,50,2
2c2d,7h5s,49,48,3
2c2d,7h5d,49,48,3
2c2d,7h5h,46,51,3
2c2d,7h5c,49,48,3
2c2d,7h4s,51,47,2
2c2d,7h4d,50,47,3
2c2d,7h4h,48,50,2
2c2d,7h4c,50,47,3
2c2d,7h3s,52,45,3
2c2d,7h3d,52,45,3
2c2d,7h3h,49,48,3
2c2d,7h3c,51,46,3
2c2d,7h2s,65,30,5
2c2d,7h2h,62,34,4
2c2d,7c7s,18,81,1
2c2d,7c7d,17,82,1
2c2d,7c7h,17,81,2
2c2d,7c6s,47,50,3
2c2d,7c6d,47,50,3
2c2d,7c6h,48,50,2
2c2d,7c6c,46,52,2
2c2d,7c5s,49,48,3
2c2d,7c5d,48,49,3
2c2d,7c5h,49,48,3
2c2d,7c5c,47,50,3
2c2d,7c4s,50,47,3
2c2d,7c4d,50,47,3
